Player,CC Player ID,Current Team,Teams,Playing Role,Batting Style,Bowling Style
Vipul Pindoria,996419,Sklpsc A,"Sklpsc,Alliance Stars,Sklpsc A,Honest Logistics Sklpsc,Ateme Sklpsc,Simba Kings",All Rounder,Right Handed Batter,Right Arm Medium
Arvind Rabadiya,996373,Estim A,"Pigabet Estim,Estim A,Estim",All Rounder,Right Handed Batter,Right Arm Medium
Ashvin Pindoria,996362,Estim A,"Pigabet Estim,Estim A,Estim",All Rounder,Right Handed Batter,Right Arm Off Spin
Bhavik Bhudia,996372,Estim A,"Pigabet Estim,Estim A,Estim",All Rounder,Right Handed Batter,Right Arm Fast
Bipin Vekariya,996365,Estim B,"Estim,Estim B",All Rounder,Right Handed Batter,Right Arm Medium
Darpan Pindolia,996367,Estim A,"Pigabet Estim,Estim A,Estim",All Rounder,Right Handed Batter,Right Arm Medium
Dinesh Budhiya,996369,Estim,Estim,All Rounder,Right Handed Batter,Right Arm Medium
Girdhar Varsani,996363,Estim A,"Estim,Estim A",Bowler,Right Handed Batter,Right Arm Medium
Harnish Hirani,996368,Estim A,"Pigabet Estim,Estim A,Estim",Bowler,Right Handed Batter,Right Arm Fast
Jitesh Pindoria,996375,Estim,Estim,Bowler,Right Handed Batter,Right Arm Off Spin
Kishor Pindoria,996376,Estim B,"Pigabet Estim,Estim A,Estim,Estim B",All Rounder,Right Handed Batter,Right Arm Medium
Kishor Varsani,996370,Estim B,"Estim B,Estim",Bowler,Right Handed Batter,Right Arm Medium
Lalji Halai,996364,Estim A,"Pigabet Estim,Estim,Estim A",Wicket Keeper,Right Handed Batter,Right Arm Medium
Mahendra Kerai,996371,Estim A,"Pigabet Estim,Estim A,Estim",All Rounder,Right Handed Batter,Right Arm Medium
Mansukh Hirani,996377,Estim,Estim,All Rounder,Right Handed Batter,Right Arm Medium
Nitin Jeshani,996374,Estim A,"Pigabet Estim,Estim A,Estim",All Rounder,Right Handed Batter,Right Arm Fast
R. Varsani,996378,Estim,Estim,All Rounder,Right Handed Batter,Right Arm Medium
Suresh Vekariya,996366,Estim B,"Estim,Estim B",All Rounder,Right Handed Batter,Right Arm Fast
Abdullah Essak,996151,Econo Lodge Lions,"Lions Castilla,Lions B,Lions CC,Econo Lodge Lions",Bowler,Right Handed Batter,Right Arm Medium
Abdulsamad Ahmed,996143,Econo Lodge Lions,"Lions B,Lions CC,Lions Cricket Club,ICONS,Kaon Lions,Econo Lodge Lions,All Season Lions",All Rounder,Right Handed Batter,Right Arm Medium
Abubakar Altaf,1006746,Lions Castilla,"Lions Castilla,Lions CC",All Rounder,Right Handed Batter,Right Arm Medium
Adil Kassam,887299,Karibu Tanzanite DCC,"DCC,Petrofuel Stars,Lions CC,Dcc,Karibu Tanzanite DCC,LEGENDS,Dcc A,Tembo Stars,Dar Legends XI,Horizon Teleports DCC,ICONS",Wicket Keeper,Right Handed Batter,Right Arm Off Spin
Aftab Khamisa,996145,Karibu Tanzanite DCC,"Lions Castilla,Lions CC,Karibu Tanzanite DCC",All Rounder,Right Handed Batter,Right Arm Medium
Atif Salim,996153,Econo Lodge Lions,"Lions CC,Lions Cricket Club,LEGENDS,Lions Castilla,All Season Lions,Royal Rhinos,Kaon Lions,Econo Lodge Lions,GIANTS,Lions B",All Rounder,Right Handed Batter,Right Arm Medium
Chetan Borkhataria,996157,Lions C,"Lions Castilla,Lions CC,Lions Leo,Lions C",Bowler,Right Handed Batter,Right Arm Medium
